,strategy,var,coverage,accuracy,FER,healthy,onfire,burnt,runtime
confentropy_UI3,confentropy,3,0.46331532673903153,0.9973274733170389,13.50966183574861,0.951365217391304,0.002008695652173913,0.04662608695652174,542.4056978433028
confentropy_UI4,confentropy,4,0.532198849874738,0.9985150148609712,7.446859903381542,0.9731913043478262,0.00018260869565217395,0.026626086956521737,445.0641964000204
confentropy_UI5,confentropy,5,0.5684279552804271,0.9989460807952948,5.797101449275285,0.9791304347826085,0.00011304347826086958,0.020756521739130437,464.1274487661279
heuristic_UI3,heuristic,3,0.23651014000662882,1.0,32.666666666666245,0.8823999999999999,0.024826086956521737,0.09277391304347826,4.57281382187553
heuristic_UI4,heuristic,4,0.29204093047224494,1.0,16.352657004830704,0.9411304347826084,0.01087826086956522,0.04799130434782609,4.5130177114320835
heuristic_UI5,heuristic,5,0.3251245601901601,1.0,11.772946859903225,0.9576173913043479,0.0088,0.03358260869565216,4.5125894701999165
ddrl_UI3,ddrl,3,0.20528635409289325,1.0,46.31884057970953,0.8332521739130433,0.05260869565217391,0.11413913043478256,6.709434146466463
ddrl_UI4,ddrl,4,0.23788284969995352,1.0,21.548309178743683,0.9224260869565218,0.019669565217391303,0.05790434782608695,6.649760489878447
ddrl_UI5,ddrl,5,0.27000098555643565,1.0,13.495169082125425,0.9514173913043477,0.011165217391304346,0.03741739130434783,6.758363407591115
newddrl_UI3,newddrl,3,0.20990680498353625,1.0,43.31884057970959,0.8440521739130437,0.050895652173913036,0.10505217391304343,6.497095066568126
newddrl_UI4,newddrl,4,0.24540966345604726,1.0,21.814009661835463,0.9214695652173914,0.022626086956521737,0.05590434782608697,6.454717200735341
newddrl_UI5,newddrl,5,0.2849848537012324,1.0,13.799516908212384,0.950321739130435,0.012886956521739127,0.03679130434782609,6.426338750383128
